ALDH18A1 ,-4.302227,-3.436447,-2.046139,-0.9794273,-0.3085695,0.1892736,0.4416144,0.2643182,0.07061998,0.1972091,0.4738561,other
ALDH3A2 ,-4.61195,-4.857072,-3.708753,-2.100731,-0.6518106,0.6862385,1.898674,1.397488,1.034433,0.9197969,0.9423043,AR
ALDH5A1 ,-4.369854,-4.514595,-4.462717,-3.802942,-2.047525,-0.8180176,-0.2474512,0.1051105,0.4046792,0.6806918,0.9174779,AR
ALDH7A1 ,-4.113089,-4.311386,-4.231308,-2.877727,-1.870324,-1.149553,-0.7123596,-0.3259627,0.1998241,0.4856228,0.6015594,other
ALG13 ,-2.406183,-1.454555,-0.6822536,-0.1888745,0.06508179,0.2294033,0.6793332,1.248769,1.363724,1.252848,1.25377,other
ALG1 ,-2.514203,-1.652141,-0.9194719,-0.3098779,0.4206913,1.020918,0.8897651,0.7752691,1.455439,2.583298,3.843798,AR
ALG3 ,-4.565416,-4.655407,-4.461235,-4.298863,-3.828147,-2.002036,-0.2455065,1.542877,3.439925,4.792323,4.682985,AR
ALOX12B ,-0.991681,-0.9054783,-0.8137101,-0.7312129,-0.5710716,-0.01656081,0.9944843,2.676209,4.662347,4.751605,4.528331,AR
ALOXE3 ,-0.4768197,-0.5910112,-0.8529745,-1.055189,-0.2037147,0.119059,-0.0969129,0.1389378,1.250447,2.596263,4.047942,AR
ALPL ,-1.369294,-0.9872827,-0.5282662,-0.1259761,0.2882825,0.3353911,0.3061619,0.7239347,1.656303,2.940043,4.416464,other
ALS2 ,-4.603645,-4.712658,-4.522784,-4.210734,-2.957602,-1.449599,-0.2645192,0.7199232,1.163783,1.30637,1.530663,AR
ANKRD11 ,-1.023865,-0.8452591,-0.4944853,0.01363123,0.3956818,0.7246545,1.154343,1.521956,1.514536,1.529451,1.777551,AD
ANKRD17 ,-4.67681,-3.469101,-1.946214,-0.7424263,0.1627866,0.5980705,0.6191356,0.9663868,1.807863,3.087913,4.476823,other
ANO5 ,-3.345726,-2.250128,-1.298024,-0.5852478,-0.1032162,0.3440568,0.5974136,0.600507,1.000877,1.653452,2.4439,other
ANOS1 ,-4.36244,-4.531908,-4.103787,-2.305645,-0.9640937,-0.2186832,0.03049096,0.1776824,0.9023225,1.940511,3.017454,other
APC ,-0.9685029,-0.9176991,-1.004965,-1.400545,-0.9224158,-0.06650149,0.3739962,0.7955021,1.095646,1.089849,1.131757,other
APOE ,-1.168654,-0.6918673,-0.3121863,-0.01986626,0.2223863,0.4543815,0.4387221,0.04920655,-0.1416758,0.04422446,0.4163392,other
APP ,-3.38518,-2.204215,-1.248124,-0.7113277,-0.5293108,-0.1817614,0.4248833,0.7095869,0.8296225,1.255995,1.911209,AD
ARID1A ,-4.497093,-4.748286,-4.783959,-3.086495,-1.642723,-0.6607088,-0.1462699,0.1863434,0.5678007,0.9504259,1.226637,AD
AR ,-1.211445,-1.194179,-1.138085,-0.9129946,-0.3998555,-0.01082907,-0.03590364,0.1263758,0.5676568,0.8689748,1.093609,other
ARSB ,-2.97226,-2.048726,-1.203804,-0.5608772,-0.6333499,-0.6832026,-0.1819063,0.5183032,0.9378986,0.9411143,1.034073,AR
